programming_id,student_id,language,problems_solved,assessments_completed,mini_projects,certifications_earned,latest_project_score
1000,100,Python,2,8,1,0,94
1001,101,Python,9,7,4,0,78
1002,102,Rust,16,7,5,0,55
1003,103,C++,5,6,5,1,63
1004,104,C++,4,7,4,2,81
1005,105,JavaScript,18,7,3,1,86
1006,106,Python,2,7,4,2,60
1007,107,Python,20,8,2,0,100
1008,108,C++,8,7,3,1,55
1009,109,JavaScript,3,7,5,2,84
1010,110,Go,12,2,4,1,100
1011,111,Java,17,4,5,3,96
1012,112,JavaScript,3,5,5,2,65
1013,113,Rust,3,4,1,1,86
1014,114,C++,6,3,2,3,98
1015,115,JavaScript,13,8,2,0,41
1016,116,Go,5,5,1,2,50
1017,117,Java,3,2,5,0,81
1018,118,C++,13,7,3,3,45
1019,119,Go,9,5,5,2,61
1020,120,Go,11,4,3,2,62
1021,121,Go,16,4,3,3,41
1022,122,JavaScript,17,5,4,0,50
1023,123,C++,5,5,5,1,67
1024,124,Go,1,6,5,1,70
1025,125,Rust,20,5,5,3,96
1026,126,Go,19,5,3,1,61
1027,127,Python,15,2,3,2,64
1028,128,Rust,19,6,4,1,63
1029,129,Rust,14,2,2,1,50
1030,130,C++,12,4,2,0,67
1031,131,JavaScript,4,3,3,0,88
1032,132,JavaScript,16,7,3,3,75
1033,133,Python,6,7,5,1,40
1034,134,JavaScript,4,5,4,2,57
1035,135,Go,10,5,4,2,86
1036,136,C++,4,6,4,1,63
1037,137,Java,6,8,3,2,63
1038,138,Go,7,6,4,0,56
1039,139,Java,1,4,2,0,86
1040,140,Java,16,7,5,3,95
1041,141,Java,18,6,5,3,55
1042,142,Go,12,4,5,0,80
1043,143,C++,20,2,3,3,79
1044,144,JavaScript,10,4,3,0,56
1045,145,Python,12,2,4,0,99
1046,146,Java,12,7,2,2,88
1047,147,Go,14,7,4,0,59
1048,148,Python,1,4,1,1,70
1049,149,C++,15,6,1,2,74
1050,150,Python,1,7,4,3,50
1051,151,C++,10,7,5,0,61
1052,152,Go,20,2,3,1,55
1053,153,C++,4,8,3,1,43
1054,154,C++,12,3,4,3,56
1055,155,C++,20,2,5,3,67
1056,156,Rust,2,6,1,0,67
1057,157,Rust,1,6,3,2,45
1058,158,Go,18,2,4,0,46
1059,159,Java,3,2,2,3,43
1060,160,Go,12,3,3,3,92
1061,161,Rust,3,5,4,1,84
1062,162,C++,11,7,5,3,99
1063,163,Go,17,6,5,3,81
1064,164,Java,20,2,1,0,84
